taxable_year,county,fp,population,all_returns,agi,median_income,median_rank,joint_returns,joint_returns_median_income,joint_returns_median_rank,tax_assessed,latitude,longitude,new_georeferenced_column
1997,Napa,6055,121200,48057,2323241000,28898,13,21435,50029,15,97313000,38.45938161,-122.3328556,POINT (-122.3328556 38.45938161)
1997,Nevada,5099,88400,35879,1426695000,27028,18,17932,44675,22,47596000,39.29548859,-120.9008733,POINT (-120.9008733 39.29548859)
1997,Orange,6059,2705300,1129052,56912666000,28814,14,470376,55846,7,2428384000,33.66073433,-117.9361373,POINT (-117.9361373 33.66073433)
1997,Placer,6061,215600,105568,4950260000,31776,6,52144,55979,6,183853000,39.0316205,-120.8830665,POINT (-120.8830665 39.0316205)
1997,Plumas,6063,20450,7411,256752000,26151,22,4071,39819,35,7417000,40.00510655,-121.0077457,POINT (-121.0077457 40.00510655)
1997,Riverside,6065,1423700,483869,17697239000,24303,30,225261,42775,27,527793000,33.7775741,-115.4706931,POINT (-115.4706931 33.7775741)
1997,Sacramento,6067,1146800,443665,17619029000,28255,15,179161,50391,14,592296000,38.1923781,-121.6020643,POINT (-121.6020643 38.1923781)
1997,San Benito,6069,46150,18344,723400000,26282,20,8661,50483,13,23576000,36.50024907,-121.0915105,POINT (-121.0915105 36.50024907)
1997,San Bernardino,6071,1617300,525466,18950931000,25501,28,240309,44501,23,538664000,34.52258599,-115.5372574,POINT (-115.5372574 34.52258599)
1997,San Diego,6073,2763400,1049797,45108169000,25938,23,439783,47188,18,1738168000,32.78964014,-117.1936577,POINT (-117.1936577 32.78964014)
1997,San Francisco,6075,777400,390182,21907851000,28909,12,101932,47766,17,1146846000,37.7577,-122.4376,POINT (-122.4376 37.7577)
1997,San Joaquin,6077,542200,180833,6710986000,25382,29,82865,45896,20,212640000,37.933703,-121.3444014,POINT (-121.3444014 37.933703)
1997,San Luis Obispo,6079,234700,90447,3488914000,25545,26,41288,45386,21,117356000,35.27435015,-120.6124974,POINT (-120.6124974 35.27435015)
1997,San Mateo,6081,711700,319640,22579711000,35555,4,127778,66904,4,1215704000,37.43944139,-122.3344603,POINT (-122.3344603 37.43944139)
1997,Santa Barbara,6083,400800,153273,7210171000,25649,24,64392,46416,19,308075000,34.42119106,-119.6988197,POINT (-119.6988197 34.42119106)
1997,Santa Clara,6085,1671400,755109,48769691000,35762,3,298963,69873,2,2490562000,37.23423826,-121.7317226,POINT (-121.7317226 37.23423826)
1997,Santa Cruz,4023,247200,109477,4946574000,26459,19,41620,52777,12,204329000,37.02159755,-121.9471295,POINT (-121.9471295 37.02159755)
1997,Shasta,6089,163300,58856,2061719000,23445,35,30312,38250,40,62890000,40.53502155,-122.5021643,POINT (-122.5021643 40.53502155)
1997,Sierra,6091,3370,1246,40811000,25618,25,658,38363,39,1156000,39.56316056,-120.7739513,POINT (-120.7739513 39.56316056)
1997,Siskiyou,6093,44300,16464,476383000,20561,51,8546,32859,51,12475000,41.40245364,-123.1750119,POINT (-123.1750119 41.40245364)
