fire_year,fips_code,fod_id
2019,6019,416
2019,6021,8
2019,6023,150
2019,6025,10
2019,6027,14
2019,6029,277
2019,6031,2
2019,6033,59
2019,6035,102
2019,6037,370
2019,6039,178
2019,6041,11
2019,6043,61
2019,6045,66
2019,6047,236
2019,6049,65
2019,6051,38
2019,6053,119
2019,6055,30
2019,6057,101
2019,6059,77
2019,6061,132
2019,6063,66
2019,6065,728
2019,6067,103
2019,6069,11
2019,6071,501
2019,6073,154
2019,6075,29
2019,6077,136
2019,6079,130
2019,6081,40
2019,6083,47
2019,6085,123
2019,6087,13
2019,6089,136
2019,6091,23
2019,6093,152
2019,6095,50
2019,6097,35
2019,6099,138
2019,6101,11
2019,6103,83
2019,6105,103
2019,6107,102
2019,6109,102
2019,6111,47
2019,6113,40
2019,6115,39
2020,6001,189
2020,6003,42
2020,6005,25
2020,6007,210
2020,6009,93
2020,6011,9
2020,6013,184
2020,6015,22
2020,6017,329
2020,6019,511
2020,6021,56
2020,6023,189
2020,6025,15
2020,6027,22
2020,6029,321
2020,6031,1
2020,6033,182
2020,6035,178
2020,6037,476
2020,6039,185
2020,6041,21
2020,6043,111
2020,6045,142
2020,6047,414
2020,6049,40
2020,6051,61
2020,6053,162
2020,6055,73
2020,6057,228
2020,6059,71
2020,6061,208
2020,6063,121
2020,6065,1446
2020,6067,96
2020,6069,14
2020,6071,856
2020,6073,407
2020,6075,10
2020,6077,32
2020,6079,225
2020,6081,115
2020,6083,89
2020,6085,208
2020,6087,51
2020,6089,290
2020,6091,34
2020,6093,174
2020,6095,129
2020,6097,118
2020,6099,229
2020,6101,23
2020,6103,186
2020,6105,73
2020,6107,142
2020,6109,178
2020,6111,111
2020,6113,40
2020,6115,30
